L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
1.11,0.01,3301280050,4.97,8089855901,3297732150,11304129539,3577967021,3738005947,2.73,4.98,1
0.44,0.0,10420434297,15.89,28307229820,10497385162,37260121160,12043090005,12193002531,13.46,15.9,2
0.59,0.0,10558697877,16.46,28384016897,10443496544,38711207739,12086338385,12133226156,13.95,16.47,2
0.57,0.0,10253005592,16.27,28005266709,10081620021,37773356162,11817074427,11863064337,14.11,16.28,2
0.48,0.0,10428720617,16.47,28381581271,10458531194,38662152362,12080833481,12211635313,13.95,16.49,2
0.51,0.0,10593390010,17.25,28088846075,10433599257,40202340313,12205249465,12212090378,14.53,17.26,2
0.58,0.0,10432013714,17.68,28473776608,10504168616,41387532106,12171798735,12162998914,15.05,17.69,2
0.5,0.0,10428108803,17.82,27994441296,10278241699,41748781013,12029040809,12035164110,15.36,17.83,2
0.49,0.0,10326670122,16.75,28249819017,10300807942,39176689905,11983297132,12037012649,14.35,16.76,2
0.54,0.0,10157271430,16.95,27658113039,10054319989,39617949206,11731581299,11779131063,14.76,16.96,2
